14 июл. 2026 10:44:52,807 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@73c2a19
14 июл. 2026 10:49:25,349 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 787, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:49:28,487 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0), value : 
14 июл. 2026 10:49:28,507 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0)
14 июл. 2026 10:49:29,899 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1), value : 
14 июл. 2026 10:49:29,900 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1)
14 июл. 2026 10:53:19,005 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4e1666f
14 июл. 2026 10:53:22,841 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 3018 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@42e6c723)
14 июл. 2026 10:53:26,387 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1238084285 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',81880687,SQL@2103493561]]
14 июл. 2026 10:53:34,337 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 783, SID: formClose()]
14 июл. 2026 10:53:34,339 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1238084285 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',81880687,SQL@2103493561]]
14 июл. 2026 10:53:34,340 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 783, SID: formClose()]
14 июл. 2026 10:53:34,340 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1238084285 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',81880687,SQL@2103493561]]]
14 июл. 2026 10:53:35,920 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[630451644 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',81880687,SQL@2103493561]]
14 июл. 2026 10:53:39,280 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 867, SID: _EDITFORMNEWSESSION_Main_Product(p)]
