14 июл. 2026 10:49:56,842 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1574348862
14 июл. 2026 10:49:58,748 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 10:49:58,748 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1574348862
14 июл. 2026 10:50:00,992 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@403388441
14 июл. 2026 10:50:02,177 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1048735563
14 июл. 2026 10:50:02,177 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@657715134
14 июл. 2026 10:50:02,604 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1586055987
14 июл. 2026 10:50:02,826 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@866180603
14 июл. 2026 10:50:02,926 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@108917057
14 июл. 2026 10:50:02,926 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1994384
14 июл. 2026 10:50:02,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1111542913
14 июл. 2026 10:50:02,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@424475232
14 июл. 2026 10:50:12,951 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@359331200
14 июл. 2026 10:50:12,951 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1058827441
14 июл. 2026 10:50:12,951 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@204523869
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@424475232
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1048735563
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1586055987
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1111542913
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@657715134
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@866180603
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1994384
14 июл. 2026 10:50:14,558 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@108917057
14 июл. 2026 10:50:14,664 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1954617552
14 июл. 2026 10:50:14,677 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@818375728
14 июл. 2026 10:50:15,258 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@61580603
14 июл. 2026 10:50:15,297 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1954617552
14 июл. 2026 10:50:15,297 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@61580603
14 июл. 2026 10:50:15,297 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@818375728
14 июл. 2026 10:50:15,345 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:50:33,951 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1350090204
14 июл. 2026 10:52:54,104 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@435849816
14 июл. 2026 10:52:56,136 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 10:52:56,136 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@435849816
14 июл. 2026 10:52:58,342 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@633514467
14 июл. 2026 10:52:59,361 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@174438874
14 июл. 2026 10:52:59,361 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@816185961
14 июл. 2026 10:52:59,828 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1573819115
14 июл. 2026 10:53:00,008 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@914779209
14 июл. 2026 10:53:00,146 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1858557468
14 июл. 2026 10:53:00,146 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1861340904
14 июл. 2026 10:53:00,146 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1888981615
14 июл. 2026 10:53:00,146 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1147444927
14 июл. 2026 10:53:09,714 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@422208243
14 июл. 2026 10:53:09,714 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1310441220
14 июл. 2026 10:53:09,714 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1220546894
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1858557468
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1888981615
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1573819115
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1147444927
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@816185961
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@174438874
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@914779209
14 июл. 2026 10:53:11,361 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1861340904
14 июл. 2026 10:53:11,476 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@384482473
14 июл. 2026 10:53:11,484 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@950922445
14 июл. 2026 10:53:12,063 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@207536227
14 июл. 2026 10:53:12,095 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@384482473
14 июл. 2026 10:53:12,095 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@950922445
14 июл. 2026 10:53:12,095 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@207536227
14 июл. 2026 10:53:12,141 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:53:17,906 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1033858911
14 июл. 2026 10:53:17,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@949346584
14 июл. 2026 10:53:18,582 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@949346584
14 июл. 2026 10:53:18,715 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1093820368
14 июл. 2026 10:53:18,850 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2103493561
14 июл. 2026 10:53:19,014 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@466167602
14 июл. 2026 10:53:19,486 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@466167602
14 июл. 2026 10:53:24,268 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@417027677
14 июл. 2026 10:53:24,465 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@417027677
14 июл. 2026 10:53:26,465 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@249724773
14 июл. 2026 10:53:58,821 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1872819319
14 июл. 2026 10:53:58,844 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1872819319
14 июл. 2026 10:53:59,210 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@49283330
14 июл. 2026 10:53:59,221 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@49283330
14 июл. 2026 10:53:59,394 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1364895540
14 июл. 2026 10:53:59,403 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1364895540
14 июл. 2026 10:53:59,527 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@220248605
14 июл. 2026 10:53:59,534 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@220248605
14 июл. 2026 10:53:59,551 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@327146185
