14 июл. 2026 10:47:43,805  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:43,821  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: gainedFocus, rq: 7] for request #7
14 июл. 2026 10:47:43,823  INFO PausableInvocationsLogger - Interaction [f: Main.products, m: executeEventAction, rq: 6] resumed after userInteraction: null
14 июл. 2026 10:47:43,824  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: executeEventAction, rq: 6] finished
14 июл. 2026 10:47:43,824  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: executeEventAction, rq: 6] for request #6
14 июл. 2026 10:47:43,824  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: gainedFocus, rq: 7] for request #7
14 июл. 2026 10:47:43,824  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: gainedFocus, rq: 7]
14 июл. 2026 10:47:43,856  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: gainedFocus, rq: 7] finished
14 июл. 2026 10:47:43,856  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: gainedFocus, rq: 7] for request #7
14 июл. 2026 10:47:49,366  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: executeEventAction, rq: 8] for request #8
14 июл. 2026 10:47:49,366  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: executeEventAction, rq: 8] for request #8
14 июл. 2026 10:47:49,366  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: executeEventAction, rq: 8]
14 июл. 2026 10:47:49,389  INFO PausableInvocationsLogger - Interaction [f: Main.products, m: executeEventAction, rq: 8] called delayUserInteraction: FormClientAction[showFormType: DOCKED]
14 июл. 2026 10:47:49,392  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: executeEventAction, rq: 8] finished
14 июл. 2026 10:47:49,393  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: executeEventAction, rq: 8] for request #8
